2:00pm	7	11
2:07pm		82
2:14pm		122
2:21pm		64
2:28pm		60
2:35pm		73
2:42pm		8
2:49pm		81
2:56pm		27
3:03pm		123
3:10pm		105
3:17pm		52
3:22pm		101
2:00pm	3	83
2:07pm		126
2:14pm		79
2:21pm		41
2:28pm		110
2:35pm		28
2:42pm		72
2:49pm		128
2:56pm		118
3:03pm		4
3:10pm		127
3:17pm		30
3:22pm		68
2:00pm	5	31
2:07pm		57
2:14pm		51
2:21pm		45
2:28pm		20
2:35pm		94
2:42pm		69
2:49pm		1
2:56pm		35
3:03pm		117
3:10pm		43
3:17pm		19
3:22pm		7
2:00pm	11	47
2:07pm		77
2:14pm		32
2:21pm		49
2:28pm		53
2:35pm		75
2:42pm		96
2:49pm		56
2:56pm		85
3:03pm		63
3:10pm		10
3:17pm		97
3:22pm		3
2:00pm	4	26
2:07pm		62
2:14pm		92
2:21pm		44
2:28pm		114
2:35pm		18
2:42pm		34
2:49pm		46
2:56pm		58
3:03pm		120
3:10pm		39
3:17pm		95
3:22pm		
